      Source     Station     Index   Year   Yday MinDay MaxDay  Month     Lat     Lon  MinLat  MaxLat  MinLon  MaxLon Length    Nsamps  Avg_none  Min_none  Max_none   SD_none  Avg_snow  Min_snow  Max_snow   SD_snow Avg_thkns Min_thkns Max_thkns  SD_thkns
    CanCoast         HA1  13000041   1977   17.8    7.0   29.0      1   61.05  -69.63   61.05   61.05  -69.63  -69.63   -999         4   -999.00   -999.00   -999.00   -999.00      0.09      0.03      0.19      0.07      0.95      0.89      0.99      0.05
    CanCoast         HA1  13000042   1977   52.5   49.0   56.0      2   61.05  -69.63   61.05   61.05  -69.63  -69.63   -999         2   -999.00   -999.00   -999.00   -999.00      0.17      0.16      0.19      0.02      1.17      1.12      1.22      0.07
    CanCoast         HA1  13000043   1977   74.0   63.0   84.0      3   61.05  -69.63   61.05   61.05  -69.63  -69.63   -999         4   -999.00   -999.00   -999.00   -999.00      0.10      0.05      0.13      0.04      1.19      1.16      1.22      0.02
    CanCoast         HA1  13000044   1977  105.2   91.0  119.0      4   61.05  -69.63   61.05   61.05  -69.63  -69.63   -999         5   -999.00   -999.00   -999.00   -999.00      0.10      0.10      0.10      0.00      1.30      1.19      1.36      0.07
    CanCoast         HA1  13000045   1977  137.0  126.0  147.0      5   61.05  -69.63   61.05   61.05  -69.63  -69.63   -999         4   -999.00   -999.00   -999.00   -999.00      0.05      0.05      0.05      0.00      1.31      1.27      1.35      0.03
    CanCoast         HA1  13000046   1977  161.3  154.0  168.0      6   61.05  -69.63   61.05   61.05  -69.63  -69.63   -999         3   -999.00   -999.00   -999.00   -999.00      0.01      0.00      0.03      0.02      1.19      1.14      1.25      0.06
    CanCoast         HA1  13000047   1977  301.0  301.0  301.0     10   61.05  -69.63   61.05   61.05  -69.63  -69.63   -999         1   -999.00   -999.00   -999.00   -999.00      0.06      0.06      0.06   -999.00      0.10      0.10      0.10   -999.00
    CanCoast         HA1  13000048   1977  317.0  311.0  322.0     11   61.05  -69.63   61.05   61.05  -69.63  -69.63   -999         3   -999.00   -999.00   -999.00   -999.00      0.01      0.00      0.03      0.02      0.21      0.15      0.25      0.05
    CanCoast         HA1  13000049   1977  351.0  351.0  351.0     12   61.05  -69.63   61.05   61.05  -69.63  -69.63   -999         1   -999.00   -999.00   -999.00   -999.00      0.00      0.00      0.00   -999.00      0.66      0.66      0.66   -999.00
    CanCoast         HA1  13000050   1978   16.8    7.0   27.0      1   61.05  -69.63   61.05   61.05  -69.63  -69.63   -999         4   -999.00   -999.00   -999.00   -999.00      0.00      0.00      0.00      0.00      1.09      0.97      1.22      0.11
    CanCoast         HA1  13000051   1978   44.5   34.0   55.0      2   61.05  -69.63   61.05   61.05  -69.63  -69.63   -999         4   -999.00   -999.00   -999.00   -999.00      0.00      0.00      0.00      0.00      1.35      1.27      1.40      0.06
    CanCoast         HA1  13000052   1978   76.2   62.0   90.0      3   61.05  -69.63   61.05   61.05  -69.63  -69.63   -999         4   -999.00   -999.00   -999.00   -999.00      0.02      0.00      0.03      0.02      1.55      1.45      1.65      0.09
    CanCoast         HA1  13000053   1978  107.5   97.0  118.0      4   61.05  -69.63   61.05   61.05  -69.63  -69.63   -999         4   -999.00   -999.00   -999.00   -999.00      0.03      0.02      0.03      0.00      1.72      1.68      1.75      0.03
    CanCoast         HA1  13000054   1978  136.0  125.0  146.0      5   61.05  -69.63   61.05   61.05  -69.63  -69.63   -999         4   -999.00   -999.00   -999.00   -999.00      0.02      0.00      0.03      0.01      1.73      1.70      1.75      0.02
    CanCoast         HA1  13000055   1978  160.0  153.0  167.0      6   61.05  -69.63   61.05   61.05  -69.63  -69.63   -999         3   -999.00   -999.00   -999.00   -999.00      0.01      0.00      0.03      0.02      1.62      1.53      1.72      0.10
    CanCoast         IC1  13010056   1965   29.0   29.0   29.0      1   78.78 -103.50   78.78   78.78 -103.50 -103.50   -999         1   -999.00   -999.00   -999.00   -999.00      0.25      0.25      0.25   -999.00      1.80      1.80      1.80   -999.00
    CanCoast         IC1  13010057   1965   85.0   85.0   85.0      3   78.78 -103.50   78.78   78.78 -103.50 -103.50   -999         1   -999.00   -999.00   -999.00   -999.00      0.18      0.18      0.18   -999.00      2.24      2.24      2.24   -999.00
    CanCoast         IC1  13010058   1965  264.5  261.0  268.0      9   78.78 -103.50   78.78   78.78 -103.50 -103.50   -999         2   -999.00   -999.00   -999.00   -999.00      0.07      0.05      0.10      0.04      1.13      1.13      1.13      0.00
    CanCoast         IC1  13010059   1965  288.2  274.0  302.0     10   78.78 -103.50   78.78   78.78 -103.50 -103.50   -999         5   -999.00   -999.00   -999.00   -999.00      0.14      0.13      0.15      0.01      1.15      1.10      1.24      0.05
    CanCoast         IC1  13010060   1965  319.5  309.0  330.0     11   78.78 -103.50   78.78   78.78 -103.50 -103.50   -999         4   -999.00   -999.00   -999.00   -999.00      0.20      0.18      0.23      0.02      1.28      1.22      1.35      0.06
    CanCoast         IC1  13010061   1965  349.2  337.0  365.0     12   78.78 -103.50   78.78   78.78 -103.50 -103.50   -999         4   -999.00   -999.00   -999.00   -999.00      0.20      0.20      0.20      0.00      1.42      1.33      1.50      0.08
    CanCoast         IC1  13010062   1966  112.7  105.0  119.0      4   78.78 -103.50   78.78   78.78 -103.50 -103.50   -999         3   -999.00   -999.00   -999.00   -999.00      0.21      0.18      0.23      0.03      2.30      2.16      2.39      0.13
    CanCoast         IC1  13010063   1966  136.8  126.0  148.0      5   78.78 -103.50   78.78   78.78 -103.50 -103.50   -999         4   -999.00   -999.00   -999.00   -999.00      0.27      0.25      0.30      0.02      2.49      2.46      2.51      0.02
    CanCoast         IC1  13010064   1966  165.2  154.0  177.0      6   78.78 -103.50   78.78   78.78 -103.50 -103.50   -999         4   -999.00   -999.00   -999.00   -999.00      0.16      0.00      0.28      0.12      2.54      2.53      2.55      0.01
    CanCoast         IC1  13010065   1966  197.8  182.0  210.0      7   78.78 -103.50   78.78   78.78 -103.50 -103.50   -999         4   -999.00   -999.00   -999.00   -999.00      0.00      0.00      0.00      0.00      2.28      2.03      2.39      0.17
    CanCoast         IC1  13010066   1966  228.0  217.0  238.0      8   78.78 -103.50   78.78   78.78 -103.50 -103.50   -999         4   -999.00   -999.00   -999.00   -999.00      0.00      0.00      0.00      0.00      1.35      0.89      1.83      0.46
    CanCoast         IC1  13010067   1966  294.0  287.0  301.0     10   78.78 -103.50   78.78   78.78 -103.50 -103.50   -999         3   -999.00   -999.00   -999.00   -999.00      0.06      0.03      0.08      0.03      1.57      1.51      1.65      0.07
    CanCoast         IC1  13010068   1966  318.8  308.0  329.0     11   78.78 -103.50   78.78   78.78 -103.50 -103.50   -999         4   -999.00   -999.00   -999.00   -999.00      0.04      0.03      0.08      0.03      1.65      1.64      1.66      0.01
    CanCoast         IC1  13010069   1966  350.2  336.0  364.0     12   78.78 -103.50   78.78   78.78 -103.50 -103.50   -999         5   -999.00   -999.00   -999.00   -999.00      0.05      0.03      0.08      0.02      1.71      1.52      2.06      0.20
    CanCoast         IC1  13010070   1967   16.8    6.0   27.0      1   78.78 -103.50   78.78   78.78 -103.50 -103.50   -999         4   -999.00   -999.00   -999.00   -999.00      0.11      0.08      0.13      0.02      2.20      1.93      2.43      0.21
    CanCoast         IC1  13010071   1967   45.2   34.0   56.0      2   78.78 -103.50   78.78   78.78 -103.50 -103.50   -999         4   -999.00   -999.00   -999.00   -999.00      0.16      0.13      0.20      0.04      2.02      1.93      2.10      0.07
    CanCoast         IC1  13010072   1967   76.2   62.0   90.0      3   78.78 -103.50   78.78   78.78 -103.50 -103.50   -999         5   -999.00   -999.00   -999.00   -999.00      0.20      0.13      0.25      0.04      2.23      2.15      2.31      0.07
    CanCoast         IC1  13010073   1967  104.3   97.0  112.0      4   78.78 -103.50   78.78   78.78 -103.50 -103.50   -999         3   -999.00   -999.00   -999.00   -999.00      0.41      0.36      0.46      0.05      2.42      2.39      2.46      0.04
    CanCoast         IC1  13010074   1967  135.8  126.0  146.0      5   78.78 -103.50   78.78   78.78 -103.50 -103.50   -999         4   -999.00   -999.00   -999.00   -999.00      0.52      0.51      0.56      0.03      2.50      2.46      2.54      0.03
    CanCoast         IC1  13010075   1967  160.3  153.0  168.0      6   78.78 -103.50   78.78   78.78 -103.50 -103.50   -999         3   -999.00   -999.00   -999.00   -999.00      0.56      0.46      0.61      0.09      2.41      2.20      2.54      0.18
    CanCoast         IC1  13010076   1967  182.0  182.0  182.0      7   78.78 -103.50   78.78   78.78 -103.50 -103.50   -999         1   -999.00   -999.00   -999.00   -999.00      0.00      0.00      0.00   -999.00      2.51      2.51      2.51   -999.00
    CanCoast         IC1  13010077   1967  261.8  251.0  272.0      9   78.78 -103.50   78.78   78.78 -103.50 -103.50   -999         4   -999.00   -999.00   -999.00   -999.00      0.06      0.05      0.08      0.02      2.49      2.48      2.51      0.01
    CanCoast         IC1  13010078   1967  289.5  279.0  300.0     10   78.78 -103.50   78.78   78.78 -103.50 -103.50   -999         4   -999.00   -999.00   -999.00   -999.00      0.08      0.05      0.10      0.02      2.49      2.46      2.51      0.02
    CanCoast         IC1  13010079   1967  317.5  307.0  328.0     11   78.78 -103.50   78.78   78.78 -103.50 -103.50   -999         4   -999.00   -999.00   -999.00   -999.00      0.11      0.10      0.13      0.02      2.54      2.50      2.59      0.04
    CanCoast         IC1  13010080   1967  349.0  335.0  363.0     12   78.78 -103.50   78.78   78.78 -103.50 -103.50   -999         5   -999.00   -999.00   -999.00   -999.00      0.12      0.10      0.13      0.02      2.69      2.62      2.77      0.06
    CanCoast         IC1  13010081   1968   15.5    5.0   26.0      1   78.78 -103.50   78.78   78.78 -103.50 -103.50   -999         4   -999.00   -999.00   -999.00   -999.00      0.13      0.13      0.13      0.00      2.91      2.83      2.98      0.07
